,message
261057,I have the master Its coming Revised again Who controls master list s for commercial and support  Chris Calger 5034643735
374675,What number did you send it to I hope it was 7136468863 If not let me know what number and where and Ill go get it Thanks Ben
492062,Dear Kimberly Its the American Airlines Fare Sale we have all been waiting for Today we received word that American has announced a fare sale that extends to travel taken through the end of March 2002 If you have been holding off on making your holiday travel arrangements theres no need to wait any longer We hope you discover your next exciting travel opportunity in this issue of Real Deals Fare Sale Details and Sample Fares  Featured This Week Air Cruises Vacations Hotels and Rodeway Inn  Cars Exclusive Offers Special Offers Deals and Rewards Fare Watcher Traveler Reviews Travelocity Store FARE WATCHERFare Watcher Keep track of changes in airfares to your favorite cities with Fare Watcher Tell us the cities youre interested in how long you want to track them and how you want to be notified Fare Watcher will do the rest TRAVELER REVIEWSTraveler Reviews Now is your chance to tell us what you think Travelocity is giving a free tote bag to the first 500 people who submit a Traveler Review Fantastic cruise or disappointing resort Tell us about it Click here to write your review Its our way of saying thank you for your feedback Travelocity Store Shop now at the Travelocity Store for great savings on Lewis N Clark travel accessories Find document organizers waist packs toiletry kits and much more on sale The Travelocity Store is your onefor great prices on luggage and accessories that make any trip more comfortable and enjoyable FEATURED THIS WEEKWheres Everyone Going We invite you to join other Travelocity members in sharing your plans and thoughts on traveling Tell us whats on your mind by taking our Winter Holiday Member Poll Catch the results in our next issue of Real Deals Save up to 75 on Airline Tickets Save 20 25 or even 30 on flights booked at Travelocitycom when you join the Travelocity Preferred Traveler Program today Thats a total of 75 in savings Start saving on your next trip Join now  25 Off Last Minute Deals Sign up for our Easy Escapes eLooking for historic villages Beaches Bustling cities Last Minute Deals will get you there this weekend or next for less Easy Escapes will keep you informed about the great Last Minute Deals departing from your city Earn Free Travel with Travelocity MasterCard Earn Travelocity Rewards with each dollar you spend on the Travelocity MasterCard With as few as 8000 points youll be on your way to enjoying discounts and free travel Youll earn 100 for every 8000 points which can be used towards bookings on Travelocitycom Apply today and earn 4000 bonus points with your first transaction AIR Free Stopovers from America West America West is allowing you to combine a quick getaway of up to five days in Phoenix Las Vegas or Columbus with your next trip Now through January 15 2002 receive a free stopover in one of these great cities Click here for details American Airlines Offers Seniors Companion Pass Deals American Airlines has a great travel program for seniors 62 years or older that allows you to bring along a traveling companion So now you can take your grandchild or any other companion of your choice on a trip that they will remember for the rest of their life Click here for details Coast to Coast From 129 OneFly the airline thats got it all from stateleather seats DIRECTV  and more Best of all flying JetBlue is affordable with coastArgentina Chile Peruall these destinations and more await you with LanChiles fall sale Purchase your ticket by November 1 2001 and you can take advantage of fantastic low fares to South America Make your Plans to Fly Air Canada During their Autumn Seat Sale Get great fares for travel this fall and winter all over North America and the world from Air Canada Hurry to take advantage of these fares you must book by October 30 2001 Click here for details CRUISESQuick Bahamas and Caribbean Cruises from 149 Short on time but long on relaxation these 3are tailorNow is the time to discover unsurpassed tranquility on one of Norwegians fabulous fall cruises to the tropics Book now Sail to Baja or the Mexican Riviera from 199 Wishing summer would linger a little longer Let the warmth of the season live on with a 3Riviera Carnival sails south of the border to some of the hottest destinations around So dont miss the boat Book now 7Unbelievably low rates and convenient departures from Fort Lauderdale Miami and Tampa are now being offered by Celebrity Cruises St Thomas Grand Cayman Cozumel and other exotic ports await your arrival All this and luxurious accommodations for 399 Believe it Book now 10Get up close and personal with the soothing sights and sounds of the Southern Caribbean this fall Step aboard the beautiful Ocean Princess and head for a host of breathtaking ports including Curacao Barbados Dominica and St Thomas Experience them all for 60 a night Book now More Cruise Deals VACATIONSHawaii 4th Night FREE  MORE Slip away to Hawaiian paradise and unwind with one of these fabulous Travelocity Vacations deals to Maui or Oahu Bookings must be made by November 2 2001 Amazing Las Vegas from 30 Looking for some hot stuff Head to Las Vegas and see whats cookin in the entertainment capital of the world Simply book a Travelocity Vacations package by October 31 2001 Ski Your Way to 25000 AAdvantage Bonus Miles Head for a ski adventure in Colorado Now you can earn AAdvantage bonus miles when you book an American Airlines Vacations ski package Simply book by November 30 2001 Sea  Summit Sale Club Med from 790 with Airfare Reserve an exhilarating break at the beach or on the slopes at limitedready to lift your spirits with allfood1HOTELSVisit San Francisco from 12995 a Night Head to the City by the Bay and get a fabulous deal on lodging Now through November 30 2001 you can enjoy the Westin St Francis on Union Square for as low as 12995 a night Click here for details Enjoy Weekend Rates from 49Stay at Westin Sheraton Four Points by Sheraton St Regis Luxury Collection and W Hotels and take advantage of 49and savings of up to 40 percent on weekday rates from now until January 27 2002 Book today 225 per Night at The Orchid at Mauna Lani A tropical paradise on Hawaiis Kohala Coast with spa tennis golf beach pool and more Escapenight and includes daily breakfast for two Book today Econo Lodge and Rodeway Inn  Each nights stay means a stamp on your EAY CHOICESM card Six stamps equal a 25 credit or 750 airline miles Ten stamps equal a 50 credit or 1500 airline miles Conditions apply Click here  CARAlamo Offers Compacts for 109 per Week If you want great weekly rates on compact SUVs or premium cars click here Hurry these offers end November 15 2001 EXCLUSIVE OFFERSSki This Winter in Vail Colorado There are two ways to ski this winter Enter today for your chance to win the Ultimate Ski Vacation from Vail Resorts  Or book your ski vacation on Travelocity and you will receive 25000 AAdvantage miles AND be automatically entered in the sweepstakes Book today Free Companion Ticket with Qantas Explore the wonders of Australia this fall and bring a friend for FREE when you join the Travelocity Preferred Traveler Program today Best of all you can stop over at up to three destinations including Sydney Brisbane Melbourne and more This offer is good for a limited time Restrictions apply Join now  Win a Trip to New York and Show Your Support To show our support for New York Travelocitycom has teamed up with NYC  CompanyWoodbury Common Premium Outlets iSeatzcom Viator and Hotel Reservations Network to give away a trip for two to New York City during December 2001 SPECIAL OFFERSEnjoy Special Offers to Hawaii This Fall HAWAII The captivating rainbows lush tropics and warm Hawaiian hospitality are truly a reality Plan your ultimate vacation to HAWAII todayfrom Hawaiian Airlines  Hilton Resorts Hawaii  The Outrigger Hotels and Resorts  The Grand Wailea  and Sheraton Hotels  Luxury Collection  DEALS AND REWARDSReceive a 25 Cash Rebate with Best Western Do you need a vacation getaway this fall From now through November 18 Travelocity Preferred Traveler members will receive a 25 cash rebate on tworeceive 75 in cash rebate coupons on airline tickets 15 off Hertz weekly rentals and more Join now  NEWS FROM OUR SPONSORS Free Caribbean Planner Order your FREE Caribbean Vacation Planner a 176guide to 33 Caribbean destinations It also includes information on sights and attractions sporting activities food festivals and a calendar of events Do it Caribbean Click here Fall in Love with Switzerland Some people say that fall is Switzerlands most beautiful season A brilliant symphony of color and senses a masterpiece offered by nature as if it were made for an unforgettable stay Click here for more Happy Travels The Travelocitycom Team Go Virtually Anywhere  UNSUBSCRIBE When you registered at Travelocity or Preview Travel you agreed to receive epreferences or if you received this message in error please click below  YOUR PASSWORD Password lookyour password  HOW DO I UPDATE MY EYou may update your eSimply click on Your Account  at the top of the home page and log in  Fares shown are for one adult and are subject to additional charges including but not limited to Passenger Facility Charges ranging from 2takeoff and a landing and taxesfees associated with international itineraries up to 113 Fuel surcharges if applicable are included in the fares listed Total fare per passenger including all charges will always be displayed to you prior to final ticket purchase Please note that fares are subject to restrictions may not be available on all flights and may change without notice For detailed descriptions of the fare rules click on the corresponding rules link Travelocity and Travelocitycom are trademarks of Travelocitycom LP and Sabre is a trademark of an affiliate of Sabre Inc  2001 Travelocitycom LP All rights reserved WBWS 280 CST2050374 
112744,Kim I uploaded the files using the SQL uploader program and found no problems with the upload process However I am confused about the sample datas origin Are they from Monfort or Klondike Or are these just test data When I open the files the system numbers indicate that they were from the Monfort site If the files were tested from Klondike the system number should be 840008001 008 is the site number for Klondike I am hoping the download program does not change the system number to 001 for a site Thank you Kim Nguyen 06242002 0321 PM RuizEWCEnronEnron Patricia HunterEWCEnronENRON Hi Mark 1 yes metmast are to be configured like you thought MetmetId WTG 2 yes I incorporated that adjustment for all monthly db files Attached are sample data of each download thanks youKim Mark Fisher 06242002 1115 AM HunterEWCEnronENRON Kim This looks pretty good and will certainly be helpful to the people at the site trying to do the downloads Just a couple of points 1 From this I dont understand how metmasts are to be configured So maybe some clarification of that would be good Is it Metmet WTG  2 For the Monyymmdb files we need to get both the current month and the previous month at least for the 1st week of the month I cant tell if this software is doing that This looks like this should provide a big help in downloading data Do you have a sample that you can send so we can compare to what our oracle upload script is expecting Just to be sure Hope my comments are helpful Mark Kim Nguyen 06242002 1002 AM hi Mark The filescan you please review the Autoknow if it follows the requirements Also I am modifying the code for version 2 Thus it is very important that I hear from you Thank you much Kim AM Jeff Duff 06212002 0622 PM ChapmanEWCEnronENRON Clemens WsteDEVELOPTWTDETWTDE Markus AltenschulteDEVELOPTWTDETWTDE Kim First Hollis will be out of the office until further notice Ill be coordinating his tasks for the time being Since I dont have the full back ground on this development here are my thoughts I agree we should work towards the best solution for the task It may be that the version you are testing is that solution The immediate problem we are trying to solve is 1 the sites spend too much time downloading these files 2 we need data consistently and frequently here in Tehachapi system performance team 3 the sooner we have a solution the more time we will save A quick review of the REC document indicates some type of download cycle in addition to file format which would be useful for other reasons The on site servers are not set up to store realtransfer program currently designed to accommodate all of the various files listed in either solution Last thing would it be possible for you to send me test data so we can test out upload to our STAR db There shouldnt be an issue but this would complete a 360 test Jeff Duff Kim Nguyen 06212002 0427 PM PM Kim Nguyen 06212002 0425 PM ChapmanEWCEnronENRON Clemens WsteDEVELOPTWTDETWTDE Markus AltenschulteDEVELOPTWTDETWTDE Hi Hollis It seems that RECactual coding has yet begun I have coded and now testing at Klondike a simplified version of this task spec attached But before I start to modify the code for version 2 perhaps we and REC project leader of this tool should come together to derive an optimal decision for this task What are your thoughts User Interface for version 2 PM Ronald Brzezinski on 06202002 110144 AM Kim Please contact Markus Altenschulte and discuss overlap in activities You may need to also contact Clemens Woeste Ron Markus AltenschulteDEVELOPTWTDE 011 49 173 255 8152 cell 011 49 5971 980 1161 office Clemens WsteDEVELOPTWTDE 011 49 5971 980 1132 office 1115 AM Clemens WsteTWTDE 06202002 0652 AM REC Hallo everybody attached are some screenshots of the Automatic download tool Markus Altenschulte is working on the specification If he has finished his work I will distribute the document Best regards Clemens Wste GE Wind Energy GmbH SCADA Development Holsterfeld 16 48499 Salzbergen Germany 
181003,I will have your bike and helmet in the car and drop it by your house if you like What is Hollys email Looking forward to seeing you Lucinda will be joining us I havent heard back from Holly Maybe you might want to give her a call too Im sure shes a little stressed out right now Maybe you could bring my bike  helmet when you come Patti Young 05182001 1214 PM Good Morning Phyllis Carol and Monnie are all planning to make breakfast at 10 at BG Did you get in touch with Holly and Lucinda Call anyone else you want See you then I will bring your bike I think I am only working til mid Please call Carol How about the Buffalo Grille or is that too busy Patti Young 05172001 0553 PM Good If you want to get Hollie Lucinda etc to come please feel free to do so Is there any special place you want to go I have been thinking about you as well I have your bicycle and will return it to you when you are ready for it I can bring it on Saturday Will it fit in your car If not I can drop it by after breakfast Might need to come by anyway to see what else you have done to it I will call Carol too if you dont care Breakfast at 1000 sounds great Wherever you want to goalso I need to get my bike back from you I might be doing some biking Ive been thinking about you Hope all is going well Patti Young nellscom 05172001 0533 PM Miss Tana Is there a chance you might like to try to get together this weekend I thought I would check with you first and then see if Phyllis is available I have a hair appointment at 8 am on Saturday We could do breakfast at 10 or whatever Let me know Patti  
200295,Scott I shall attend Vince Enron North America Corp Sent by Sharon Purswell KaminskiHOUECTECT Greg WhalleyHOUECTECT Steven J KeanHOUEESEES Jim FallonEnron CommunicationsEnron Communications Russell WoodyEnron CommunicationsEnron Communications John Brindle David OxleyHOUECTECT You are cordially invited to attend a presentation entitled Acquiring Information Trade Secrets and the Economic Espionage Act EEA Daniel Waltz of the law firm Patton Boggs LLP is a leading expert on the EEA and will deliver what promises to be an interesting and informative segment Congress passed the EEA in 1996 and it will increasingly shape how corporate America collects uses and protects valued information In addition to explaining some of the intricacies of the EEA Dan Waltz will include hypothetical corporate case studies some actually torn from the headlines to illustrate his points This event is sponsored by ENAs Competitive Analysis and Business Controls CABC group and is supported by ENA legal This event kicksCompetitive Intelligence Standards Program which seeks to raise awareness of issues relevant both to Enrons practitioners and senior consumers of competitive intelligence This particular speaking engagement is designed to raise awareness of the EEAs legal guidelines as well as to stimulate thought both on the collection opportunities against our competitors as well as how we might better protect Enrons own proprietary information I believe the topic of the EEA is especially relevant given that we find ourselves amidst the big bang of this new information age All CABC staff is being asked to attend this presentation and we are inviting a small number of other Enron employees who are engaged in aspects of serious competitive intelligence Select executives like yourselves are being invited to attend and I would welcome any suggestions of others that you think might benefit from attending this event The EEA presentation is set for August 15 130Conference room Please RSVP to either myself or Sharon Purswell Hope to see you there PS By the way our next speaker segment in the CI Standards Program will concentrate on the guidelines and implications of the Foreign Corrupt Practices Act FCPA and will likely be scheduled for the fall 
475178,You can remove me from the distribution list
44334, IMAGEIMAGEIMAGEDear SmartReminders Member IMAGE Tell us where to send your FREE RAZOR AMFM RADIO and ALARM CLOCK Now you can claim a FREE RAZOR AMFM RADIO and ALARM CLOCK  thats yours to keep just for trying PREMIER CHOICE BENEFITS for 30 days Quantities are limited so Click Here and complete the form within the next 48 hours so that we can ship it to you immediately trying the PREMIER CHOICE BENEFITS 30ers that are acoustically engineered and designed for superb sound Metal telescopic antenna and AC jack included Use as a tableachable pedestal base or as a wall mount radio by utilizing the wall mounts on the back of the radio Set the built in LCD alarm clock to wake you in the morning Its handy anywhere in your home or makes a great gift Plus you can sample all of our moneydays As a member of PREMIER CHOICE BENEFITS you canimmediately start saving on  300000 brand name Electronics Appliances and Household Merchandise  Discount Movie Tickets  Travel and Entertainment  Vision Care and other Health Benefits and Services  Legal Services  Flowers and Gifts  Discount Home Services  Magazines  Discount Tires and Rims  Automobile Quotation and Purchasing  And So Much More This offer is riskmber the FREE RAZOR AMFM RADIO and ALARM CLOCK is yours to keep just for trying us out Your satisfaction is guaranteed Get It Now Offer open to US Residents only  credit card customers only A small 100 shipping  handling charge applies We respect your privacy and are a Certified Participant of the BBBOnLine Privacy Program To be removed from future offersclick hereSmartReminderscom is a permission based service To unsubscribe click here  
385419, Michael Per your request attached is the updated spreadsheets for our california exposure Please note Cal Px and ISO figures are updated as of 50901 as well Additionally please keep in mind that exposure to Pacific Gas  Electric is held static as of 040801 the date following filing chapter 11 Questions or comments please call Wendy x30699
67067,21PM Jubran Whalan 03082001 0520 PM BresnanHOUEESEES Tom RileyWestern RegionThe Bentley CompanyExchangeJay FerryHOUEESEES DISCRETIONARY LOAD CURTAILMENT PROGRAM The California Independent System Operator ISO has created theDiscretionary Load Curtailment Program DLCP to provide additional resourcesto the grid for the management of potential system emergency conditions This program provides an energyover their curtailments the control that many need to feel comfortableparticipating in a demand response program The DLCP consists of two parts a Day Ahead Request and a Day Of Request for curtailment The ISO will pay Load Aggregators 500MWh for Demand they offer and curtailin the Day Ahead portion and 750MWh for Demand they offer and curtail onthe Day Of portion This program will act as an umbrella for certain UDCsAssembly Bill AB31x and also attracts any other aggregator that can bid loadcurtailments into the program A Load Aggregator LA can be any company whoenters into a DLCP Agreement with the ISO Because AB31x provides paymentsfor the bundled customers that are aggregated by the UDCs an alternateagreement will be made with them regarding procedures of operation NonCLoad Aggregators will receive the performance payments from the ISO throughtheir elected Scheduling Coordinator The DLCP will operate yearomnow until December 31 2001 The need for this program will be evaluatedthroughout 2001 and implemented for 2002 if needed Some provisions includingtrigger mechanisms and payments may be reSummer 2001 experience The ISO is accepting proposals from those interested in being a LoadAggregator starting on March XX 2001 and continuing until the end of thisprogram For more information and a copy of the Request for Proposals pleasevisit our web site  this will be posted afterthe DLCP is approved The DLCP is intended to provide the ISO with Demand curtailment from Loadsthat may not be able to participate in the ISOramAncillary Services and Supplemental Energy or the ISOmandRelief Program However contracted DRP Loads may participate in the DLCPduring months outside of the DRP period Additionally existing UDCinterruptible customers that have met their yearly contractual obligation mayparticipate This new program is intended to allow endparticipate through a Load Aggregator in a curtailment program while givingthose Loads total discretion whether to participate in any day the program isactivated by the ISO Key Features of the DLCP FeatureDLCP AvailabilityMinimum Load Aggregator PortfolioCurtailed Energy PaymentCurtailment WindowDLCP Requestprogram based upon the best available temperature load and resourceforecast information for specified hours of the next day The DLCP DayAhead Request will be issued by 400PM program based upon the best available temperature load and resourceforecast information for specific hours on that day The DLCP Day OfRequest will be issued by 800AM DLCP Offerhe day ofthe DLCP RequestDLCP Confirmation e tothe LAs no later than 700 PM of the day before the curtailment than930AM of the day of the curtailment DLCP Curtailmentls in thehours as per the DLCP Confirmation notice Use of Generationproval fromAQMD Order  Timing of Curtailmenton the timesidentified in the DLCP Confirmation notice the curtailments could occurirrespective of the Emergency Status Eligibility DLCP Load Aggregator In order to be eligible for the DLCP Load Aggregators including UDCs 1 Must be able to provide a portfolio that contains a net reduction inDemand of at least 1MW either alone or when aggregated with other customers 2 Must sign a DLCP Agreement 3 Must have an ISO approved performance measurement process4 Must be capable of interacting with the ISOwellas communicate with the end5 Must nominate an SC for settlement transactions with the ISO DLCP EndIn order to be eligible for the DLCP an end1 Must be able to provide a net reduction in Demand that meets the criteriaof the LA or the Local Regulatory Authority 2 Must have an interval meter approved by the Local Regulatory Authority orhave the appropriate measuring devices as required by the approved LAsperformance measurement process 3 Must be located inside the ISO Control Area ask your LA if you are notsure 4 Must not concurrently participate in the ISOermay participate during months outside of the DRP contracted period May155 If the endparticipate in the DLCP as long as the customer has met all the contractualobligations of an interruptible customer 6 Must not have a Participating Load Agreement PLA with the ISO for thesame Load offered under the DLCP 7 Must obtain and provide positive proof of all necessary permits ofoperation or approvals from the local Air Pollution Control District or AirQuality Management District for each individual Generating Unit designatedfor participation in the DLCP DLCP Process  DLCP Request 1 DLCP Day Ahead Request The ISO will project the need for demand response The ISO may call on thisprogram based upon the best temperature load and resource forecastinformation available by 400PM the day ahead The ISO will issue a DLCP DayAhead Request by enotice will request the curtailment amounts for twoISO specified curtailment timeframe The ISO will provide any constraints inthe notice 2 DLCP Day Of Request The ISO will project the need for demand response The ISO will base thisprojection upon the best temperature load and resource forecast informationavailable by 800AM of the day of the request The ISO will issue a DLCP DayOf Request by estthe curtailment amounts for each twoprovide any constraints in the notice  DLCP Offer 1 By 600PM on the Day Ahead the Load Aggregators will submit to the ISOthrough the ISO DLCP website their committed amounts of Load Curtailment The ISO expects that the Load Aggregators will have contacted the EndLoads in their program to determine how much curtailment will be availableand for which hours of the day2 By 900AM of the Day Of the Load Aggregators will submit their committedamounts of curtailment  DLCP Confirmation Once the ISO reviews submitted DLCP Offers ISO Operations will issue anesaccepting specific DLCP Offers The ISO will issue the DLCP Confirmationnotice by 700PM on the day the Day Ahead Request was made and by 930AM forthe Day Of Requests These confirmation notices will request that the LoadAggregators communicate to the Endtand duration This will be the only communication dispatch to the LoadAggregators detailing the curtailment  DLCP Performance The effectiveness of the DLCP will be based on the performance of eachEndexpects that the committed curtailment will occur based on the hours asconfirmed through the DLCP Confirmation notices An aggregator has theresponsibility to produce the demand reduction it confirms There is no setpenalty except that continued poor performance could result in revocation ofthe DLCP Agreement  Performance Measurement Guidelines The measurement of performance for each EndheLoad Aggregators Each Load Aggregator will have an ISO approved performancemeasurement plan which will be used to calculate the DLCP performance Theperformance measurement plan shall include the following  For interval metered Endbaseline Load profile DLCP performance will be measured by the differencebetween baseline Load profile and the meter read for the hours ofcurtailment  For nonusing a combination of sample measurements historic data process controlsuse of data loggers and any other performance measurement method approved bythe ISO Load Aggregators shall obtained ISO approval prior to offering DLCPfor nonfavors interval meters  DLCP Settlement Each DLCP Offer for which a DLCP Confirmation was issued by the ISO shall beuniquely identified Therefore DLCP Day Ahead and DLCP Day Of offers mustbe separately identified The Load Aggregators except for the UDCs shallsubmit the DLCP Performance Measurement for each confirmed offer by using theDLCP website no later than 45 days following the operating day of the DLCPCurtailment The ISO will calculate the performance payment by simplymultiplying the DLCP energy price 500MWh for DLCP Day Ahead and 750MWhfor DLCP Day Of by the amount of DLCP in MWs for each hour of confirmedcurtailment For each month the performance payments will be summed up forall the confirmed curtailments and paid to the Load AggregatoredScheduling Coordinator The payment will be made to the SchedulingCoordinator in accordance to the ISO Payment Calendar timeline The ISO recognizes that UDCs acting as Load Aggregators will have specificrules to follow for the settlement of the dispatched curtailment The UDCswill be responsible for following the settlement rules and regulations setforth by the CPUC for the End How to enroll in the DLCP Load Aggregator 1 For a Load Aggregator contact the ISO The DLCP Request for ProposalRFP and Agreement are posted on the ISO website 2 Contact the ISO The ISO contact for the DLCP is Glen Perez Manager Data Quality California ISO  3 Submit a proposal and enter into a DLCP Agreement Responses to the RFPshould be submitted California Independent System Operator 151 Blue Ravine Road Folsom CA 95630 Attention John Counsil Contracts End1 Contact a Load Aggregator A list of approved Load Aggregators will beposted on the ISO website  2 Contact your UDC They may have an enrollment process to be followed 3 Any questions contact the ISO The ISO contact for the DLCP is Glen Perez Manager Data Quality California ISO  
